neighbourhood,date,count,month
Allston,2005-01-01,1,January
Allston,2005-01-02,3,January
Allston,2005-01-03,3,January
Allston,2005-01-04,1,January
Allston,2005-01-05,2,January
Allston,2005-01-06,1,January
Allston,2005-01-07,4,January
Allston,2005-01-08,4,January
Allston,2005-01-09,6,January
Allston,2005-01-10,1,January
Allston,2005-01-12,2,January
Allston,2005-01-13,3,January
Allston,2005-01-14,3,January
Allston,2005-01-16,2,January
Allston,2005-01-17,1,January
Allston,2005-01-18,1,January
Allston,2005-01-19,4,January
Allston,2005-01-20,4,January
Allston,2005-01-21,2,January
Allston,2005-01-22,8,January
Allston,2005-01-23,2,January
Allston,2005-01-24,2,January
Allston,2005-01-25,3,January
Allston,2005-01-27,3,January
Allston,2005-01-28,3,January
Allston,2005-01-29,2,January
Allston,2005-01-30,1,January
Allston,2005-01-31,3,January
Allston,2005-02-01,2,February
Allston,2005-02-02,2,February
Allston,2005-02-05,4,February
Allston,2005-02-06,5,February
Allston,2005-02-07,1,February
Allston,2005-02-09,2,February
Allston,2005-02-11,3,February
Allston,2005-02-13,1,February
Allston,2005-02-14,4,February
Allston,2005-02-15,1,February
Allston,2005-02-16,1,February
Allston,2005-02-17,3,February
Allston,2005-02-18,4,February
Allston,2005-02-19,1,February
Allston,2005-02-20,1,February
Allston,2005-02-22,2,February
Allston,2005-02-23,1,February
Allston,2005-02-24,5,February
Allston,2005-02-27,3,February
Allston,2005-02-28,1,February
Allston,2005-03-01,2,March
Allston,2005-03-03,1,March
Allston,2005-03-04,3,March
Allston,2005-03-06,4,March
Allston,2005-03-07,1,March
Allston,2005-03-10,2,March
Allston,2005-03-11,2,March
Allston,2005-03-12,2,March
Allston,2005-03-13,2,March
Allston,2005-03-14,11,March
Allston,2005-03-15,1,March
Allston,2005-03-16,1,March
Allston,2005-03-17,1,March
Allston,2005-03-18,1,March
Allston,2005-03-19,4,March
Allston,2005-03-20,2,March
Allston,2005-03-21,3,March
Allston,2005-03-22,1,March
Allston,2005-03-26,2,March
Allston,2005-03-27,1,March
Allston,2005-03-28,3,March
Allston,2005-03-29,5,March
Allston,2005-03-30,3,March
Allston,2005-03-31,2,March
Allston,2005-04-01,2,April
